condition,try,compiled,scope,compile_rate
gpt-5.5,1,19,65,0.2923076923076923
gpt-5.5,2,41,65,0.6307692307692307
gpt-5.5,3,53,65,0.8153846153846154
gpt-5.5,4,61,65,0.9384615384615385
gpt-5.5,5,63,65,0.9692307692307692
gpt-5.5,6,64,65,0.9846153846153847
gpt-5.5,7,64,65,0.9846153846153847
gpt-5.5,8,64,65,0.9846153846153847
gpt-5.5,9,65,65,1.0
gpt-5.5,10,65,65,1.0
gpt-5.5,11,65,65,1.0
gpt-5.5,12,65,65,1.0
gpt-5.5,13,65,65,1.0
gpt-5.5,14,65,65,1.0
gpt-5.5,15,65,65,1.0
gpt-5.6-sol,1,18,65,0.27692307692307694
gpt-5.6-sol,2,36,65,0.5538461538461539
gpt-5.6-sol,3,51,65,0.7846153846153846
gpt-5.6-sol,4,55,65,0.8461538461538461
gpt-5.6-sol,5,59,65,0.9076923076923077
gpt-5.6-sol,6,60,65,0.9230769230769231
gpt-5.6-sol,7,60,65,0.9230769230769231
gpt-5.6-sol,8,60,65,0.9230769230769231
gpt-5.6-sol,9,60,65,0.9230769230769231
gpt-5.6-sol,10,60,65,0.9230769230769231
gpt-5.6-sol,11,60,65,0.9230769230769231
gpt-5.6-sol,12,60,65,0.9230769230769231
gpt-5.6-sol,13,60,65,0.9230769230769231
gpt-5.6-sol,14,60,65,0.9230769230769231
gpt-5.6-sol,15,60,65,0.9230769230769231
opus-5-thinking,1,33,65,0.5076923076923077
opus-5-thinking,2,45,65,0.6923076923076923
opus-5-thinking,3,47,65,0.7230769230769231
opus-5-thinking,4,47,65,0.7230769230769231
opus-5-thinking,5,47,65,0.7230769230769231
opus-5-thinking,6,47,65,0.7230769230769231
opus-5-thinking,7,47,65,0.7230769230769231
opus-5-thinking,8,47,65,0.7230769230769231
opus-5-thinking,9,47,65,0.7230769230769231
opus-5-thinking,10,47,65,0.7230769230769231
opus-5-thinking,11,47,65,0.7230769230769231
opus-5-thinking,12,47,65,0.7230769230769231
opus-5-thinking,13,47,65,0.7230769230769231
opus-5-thinking,14,47,65,0.7230769230769231
opus-5-thinking,15,47,65,0.7230769230769231
opus-5-no-thinking,1,23,65,0.35384615384615387
opus-5-no-thinking,2,40,65,0.6153846153846154
opus-5-no-thinking,3,53,65,0.8153846153846154
opus-5-no-thinking,4,56,65,0.8615384615384616
opus-5-no-thinking,5,59,65,0.9076923076923077
opus-5-no-thinking,6,62,65,0.9538461538461539
opus-5-no-thinking,7,63,65,0.9692307692307692
opus-5-no-thinking,8,64,65,0.9846153846153847
opus-5-no-thinking,9,64,65,0.9846153846153847
opus-5-no-thinking,10,64,65,0.9846153846153847
opus-5-no-thinking,11,65,65,1.0
opus-5-no-thinking,12,65,65,1.0
opus-5-no-thinking,13,65,65,1.0
opus-5-no-thinking,14,65,65,1.0
opus-5-no-thinking,15,65,65,1.0
claude-code-opus5-enhanced,1,15,65,0.23076923076923078
claude-code-opus5-enhanced,2,37,65,0.5692307692307692
claude-code-opus5-enhanced,3,45,65,0.6923076923076923
claude-code-opus5-enhanced,4,55,65,0.8461538461538461
claude-code-opus5-enhanced,5,62,65,0.9538461538461539
claude-code-opus5-enhanced,6,62,65,0.9538461538461539
claude-code-opus5-enhanced,7,62,65,0.9538461538461539
claude-code-opus5-enhanced,8,62,65,0.9538461538461539
claude-code-opus5-enhanced,9,62,65,0.9538461538461539
claude-code-opus5-enhanced,10,63,65,0.9692307692307692
claude-code-opus5-enhanced,11,63,65,0.9692307692307692
claude-code-opus5-enhanced,12,63,65,0.9692307692307692
claude-code-opus5-enhanced,13,63,65,0.9692307692307692
claude-code-opus5-enhanced,14,63,65,0.9692307692307692
claude-code-opus5-enhanced,15,63,65,0.9692307692307692
